日付,商品名,数量,単価,売上金額
2024/01/05,ボールペン(黒),100,120,12000
2024/01/08,コピー用紙A4,50,450,25500
2024/01/10,クリアファイル,200,80,16000
2024/01/15,付箋紙セット,30,250,7500
2024/01/18,ホチキス,20,350,7700
2024/01/22,修正テープ,40,180,7200
2024/01/25,蛍光ペンセット,60,300,18000
2024/02/01,ボールペン(黒),120,120,14400
2024/02/05,コピー用紙A4,80,450,36000
2024/02/08,クリアファイル,150,80,12000
2024/02/12,のり(スティック),90,100,9000
2024/02/15,付箋紙セット,45,250,11250
2024/02/20,シャープペンシル,70,200,14000
2024/02/25,消しゴム,100,60,6000
2024/03/03,ボールペン(黒),80,120,9600
2024/03/07,コピー用紙A4,60,450,27000
2024/03/10,ファイルボックス,25,500,12500
2024/03/15,クリアファイル,180,80,14400
2024/03/20,ホチキス針,50,150,7500
2024/03/25,付箋紙セット,35,250,8750
